,date,name,tweet
12,2020-11-10,<JoeBiden>," if you’re sick, if you’re struggling, if you’re worried about how you’re going to get through the day — we will not abandon you.  we will not leave you to face these challenges alone.  "
13,2020-11-10,<JoeBiden>," when i’m speaking to foreign leaders, i’m telling them: america is going to be back. we’re going to be back in the game.
"
14,2020-11-10,<JoeBiden>," come january, we will work quickly with congress to dramatically ramp up health care protections, get america to universal coverage, and lower health care costs.
"
15,2020-11-10,<JoeBiden>, tune in as my campaign provides a post-election legal briefing.  
16,2020-11-10,<JoeBiden>," beginning on january 20th, vice president-elect harris and i are going to do everything in our power to ease the burden of health care on you and your families.
"
17,2020-11-10,<JoeBiden>," today, the trump administration is in court, attempting to eliminate the affordable care act. tune in as i discuss how my administration will expand access to quality, affordable health care.  "
18,2020-11-10,<JoeBiden>," . and i aren’t wasting any time. we’re ready to get covid-19 under control so that we can reopen our businesses and schools safely, resume our lives, and put this pandemic behind us.  "
19,2020-11-09,<JoeBiden>," i won't be president until january 20th, but my message today to everyone is this: wear a mask.
"
20,2020-11-09,<JoeBiden>," the bottom line: i will spare no effort to turn this pandemic around.
"
21,2020-11-09,<JoeBiden>," the challenge before us right now is still immense and growing, and so is the need for bold action to fight this pandemic.
"
22,2020-11-09,<JoeBiden>," my covid-19 transition advisory board will advise on detailed plans built on a bedrock of science, and that keep compassion, empathy, and care for every american at its core.
"
23,2020-11-09,<JoeBiden>," today, i have named a covid-19 transition advisory board, comprised of distinguished public health experts, to help our transition team translate the biden-harris covid-19 plan into a blueprint we can put into place as soon as  and i are sworn into office.
"
24,2020-11-09,<JoeBiden>, i spent the morning with the co-chairs of my covid-19 council discussing the status of this pandemic and how we move forward. tune in as i provide an update on how we're going to beat this virus.  
25,2020-11-07,<JoeBiden>, from the bottom of my heart: thank you.  
26,2020-11-07,<JoeBiden>," a nation united.  a nation strengthened.  a nation healed.  the united states of america.
"
27,2020-11-07,<JoeBiden>," with full hearts and steady hands, with faith in america and in each other, with a love of country — and a thirst for justice — let us be the nation that we know we can be.
"
28,2020-11-07,<JoeBiden>," tonight, the whole world is watching america. i believe at our best america is a beacon for the globe.  and we lead not by the example of our power, but by the power of our example.
"
29,2020-11-07,<JoeBiden>," especially for those moments when this campaign was at its lowest — the african american community stood up again for me. they always have my back, and i’ll have yours.
"
30,2020-11-07,<JoeBiden>," i believe that this is part of the mandate from the american people. they want us to cooperate.  that’s the choice i’ll make. and i call on the congress — democrats and republicans alike — to make that choice with me.
"
31,2020-11-07,<JoeBiden>," now that the campaign is over—what is the people’s will? what is our mandate?  i believe it is this: americans have called on us to marshal the forces of decency and the forces of fairness. to marshal the forces of science and the forces of hope in the great battles of our time.
"
32,2020-11-07,<JoeBiden>," we cannot repair the economy, restore our vitality, or relish life’s most precious moments — hugging a grandchild, birthdays, weddings, graduations, all the moments that matter most to us — until we get this virus under control.
"
33,2020-11-07,<JoeBiden>," the bible tells us that to everything there is a season — a time to build, a time to reap, a time to sow. and a time to heal.  this is the time to heal in america.
"
34,2020-11-07,<JoeBiden>," it’s time to put away the harsh rhetoric.  to lower the temperature.  to see each other again.  to listen to each other again.
"
35,2020-11-07,<JoeBiden>," to all those who volunteered, worked the polls in the middle of this pandemic, local election officials — you deserve a special thanks from this nation.
"
36,2020-11-07,<JoeBiden>," for america’s educators, this is a great day: you’re going to have one of your own in the white house, and jill is going to make a great first lady.
"
37,2020-11-07,<JoeBiden>," i pledge to be a president who seeks not to divide, but to unify.  who doesn’t see red and blue states, but a united states.  and who will work with all my heart to win the confidence of the whole people.
"
38,2020-11-07,<JoeBiden>," folks, the people of this nation have spoken.  they have delivered us a clear victory. a convincing victory.  a victory for “we the people.”
"
39,2020-11-07,<JoeBiden>, a new day in america has come. tune in as vice president-elect  and i address the nation.  
40,2020-11-07,<JoeBiden>," america, i’m honored that you have chosen me to lead our great country.  the work ahead of us will be hard, but i promise you this: i will be a president for all americans — whether you voted for me or not.  i will keep the faith that you have placed in me.  "
41,2020-11-06,<JoeBiden>," we may be opponents — but we are not enemies.   we are americans.
"
42,2020-11-06,<JoeBiden>," we have to remember the purpose of our politics isn’t totally unrelenting warfare.
"
43,2020-11-06,<JoeBiden>," i know tensions can be high after a tough election like we just had.  but we need to remain calm. patient. and let the process work out as we count all the votes.
"
44,2020-11-06,<JoeBiden>," we are going to be the first democrats to win arizona in 24 years.  we are going to be the first democrats to win georgia in 28 years.  and we re-built the blue wall in the middle of the country that crumbled just four years ago.
"
45,2020-11-06,<JoeBiden>," what is becoming clearer each hour is that record numbers of americans — from all races, faiths, regions — chose change over more of the same.   they have given us a mandate for action on covid and the economy and climate change and systemic racism.
"
46,2020-11-06,<JoeBiden>," the numbers tell us a clear and convincing story: we're going to win this race.
"
47,2020-11-06,<JoeBiden>, tune in as i address the nation on the current state of the race.  
48,2020-11-05,<JoeBiden>, donald trump is going to court to stop votes from being counted. we have assembled the largest election protection effort in history to fight back and need your help.  chip in to make sure every vote is counted:  
49,2020-11-05,<JoeBiden>," no one is going to take our democracy away from us. not now, not ever.  america has come too far, fought too many battles, and endured too much to let that happen.
"
50,2020-11-05,<JoeBiden>," the people will not be silenced, be bullied, or surrender.  every vote must be counted.
"
51,2020-11-05,<JoeBiden>, i spent the afternoon attending briefings on the ongoing covid-19 crisis and the state of the economy. tune in as i provide an update on these briefings and efforts to count every vote.  
52,2020-11-05,<JoeBiden>," i ask people to stay calm.  the process is working.  the count is being completed.
"
53,2020-11-05,<JoeBiden>," democracy is sometimes messy, so sometimes it requires a little patience.   but that patience has been rewarded now for more than 240 years with a system of governance that has been the envy of the world.
"
54,2020-11-05,<JoeBiden>, we’re fighting to ensure every last vote is counted across the country — and we need your help to do it. chip in to the biden fight fund to fuel our election protection efforts:  
55,2020-11-05,<JoeBiden>," let me be clear: i campaigned as a proud democrat, but i will govern as an american president.  "
56,2020-11-05,<JoeBiden>," be patient, folks. votes are being counted, and we feel good about where we are.
"
57,2020-11-05,<JoeBiden>," as votes continue to be counted across the country, tune in as my campaign manager  and campaign adviser bob bauer give an update on where things stand.  "
58,2020-11-05,<JoeBiden>, every vote must be counted.  
59,2020-11-04,<JoeBiden>, donald trump does not decide the outcome of this election and nor do i. the american people decide. that’s why we’ve launched the biden fight fund — to ensure every vote is counted.  chip in to help fund our election protection efforts across the country:  
60,2020-11-04,<JoeBiden>, i’m confident that we will emerge victorious.  but this will not be my victory alone.  it will be a victory for the american people.  
61,2020-11-04,<JoeBiden>," it’s clear that when the count is finished, we believe we will be the winners.  "
62,2020-11-04,<JoeBiden>," today, the trump administration officially left the paris climate agreement. and in exactly 77 days, a biden administration will rejoin it.
"
63,2020-11-04,<JoeBiden>," keep faith in the process and in each other. together, we will win this.
"
64,2020-11-04,<JoeBiden>," i am confident we will emerge victorious, but this will not be my victory or our victory alone. it will be a victory for the american people, for our democracy, for america.
"
65,2020-11-04,<JoeBiden>," to make progress, we have to stop treating our opponents as enemies. we are not enemies.
"
66,2020-11-04,<JoeBiden>," once this election is finalized and behind us, it will be time for us to do what we've always done as americans: to put the harsh rhetoric of the campaign behind us.
"
67,2020-11-04,<JoeBiden>," every vote must be counted. no one is going to take our democracy away from us, not now, not ever.
"
68,2020-11-04,<JoeBiden>," the presidency, itself, is not a partisan institution. it's the one office in the nation that represents everyone and it demands a duty of care for all americans, and that is precisely what i will do.
"
69,2020-11-04,<JoeBiden>," power can't be taken or asserted, it flows from the people, and it's their will that determines who will be the president of the united states.
"
70,2020-11-04,<JoeBiden>, tune in as i address the nation on the state of the race.  
71,2020-11-04,<JoeBiden>," to make sure every vote is counted, we’re setting up the largest election protection effort ever assembled. because donald trump doesn’t get to decide the outcome of this election — the american people do.  chip in to power the new biden fight fund:  "
72,2020-11-04,<JoeBiden>, we won't rest until everyone's vote is counted. tune in as my campaign manager  and campaign adviser bob bauer give an update on where the race stands.  
73,2020-11-03,<JoeBiden>," we feel good about where we are. we believe we are on track to win this election.
"
74,2020-11-03,<JoeBiden>," it's not my place or donald trump's place to declare the winner of this election. it's the voters' place.
"
75,2020-11-03,<JoeBiden>," keep the faith, guys. we’re gonna win this.
"
76,2020-11-03,<JoeBiden>," tune in as i speak to the nation live from wilmington, delaware.  "
77,2020-11-03,<JoeBiden>," as polls begin to close in certain parts of the country, remember to stay in line.   if you’re in line at your polling place before it closes, you’re able to vote.  "
78,2020-11-03,<JoeBiden>," folks, time is running out to make your voice heard in this election. if you haven’t voted yet, go to  "
79,2020-11-03,<JoeBiden>, this is our moment to prove that:  love is more powerful than hate. hope is more powerful than fear. light is more powerful than dark.  vote before polls close:  
80,2020-11-03,<JoeBiden>," let's win this thing, pennsylvania!  "
81,2020-11-03,<JoeBiden>, who we are. what we stand for. who we are going to be.  it's all at stake — and you have the power to determine the outcome.  vote before polls close:  
82,2020-11-03,<JoeBiden>," today is your absolute last chance to vote in this election. if you haven’t voted early, i need you to vote today and stay in line as long as it takes. our democracy is at stake. go to  "
83,2020-11-03,<JoeBiden>, this is our moment to choose:  hope over fear. unity over division. science over fiction. truth over lies.  vote:  
84,2020-11-03,<JoeBiden>," votar es tu derecho. si tienes alguna pregunta, llama a la línea directa de asistencia al votante al 1-866-296-8686.  "
85,2020-11-03,<JoeBiden>, every moment of the last four years comes down to today.  don’t miss your chance to make your voice heard.  head to  
86,2020-11-03,<JoeBiden>, where is your polling location? when do polls close? what do you need to bring to the polls? where can you drop off your absentee ballot?  head to  
87,2020-11-03,<JoeBiden>," before he passed, john lewis left us with marching orders.  today, we must carry them out:  "
88,2020-11-03,<JoeBiden>, we are in a battle for the soul of the nation.  and you have the ultimate power to determine the outcome: your vote.   use it.  
89,2020-11-03,<JoeBiden>, many states have same-day voter registration. head to  
90,2020-11-03,<JoeBiden>," folks, it’s go time.  it’s time to restore the soul of this nation.  it’s time to stand up and take our democracy back.  it’s time to vote.  "
91,2020-11-03,<JoeBiden>," today, the american people will choose the next president. tune in as my campaign manager  and campaign adviser bob bauer give another update on what you can expect as voting continues.  "
92,2020-11-03,<JoeBiden>," voting is your right. if you have questions, reach out to the voter assistance hotline at 1-833-336-8683.  "
93,2020-11-03,<JoeBiden>," as you head to the polls today, here are a few things to keep in mind.  "
94,2020-11-03,<JoeBiden>, we can overcome these crises.  we can take our country back.  we can win the battle for the soul of the nation.  it all begins today. confirm your polling place at  
95,2020-11-03,<JoeBiden>," today, vote for a new day in america.  "
96,2020-11-03,<JoeBiden>," in 2008 and 2012, you placed your trust in me to help lead this country alongside barack obama.  today, i’m asking for your trust once again — this time, in kamala and me.  we can heal the soul of this nation — i promise we won’t let you down.   "
97,2020-11-03,<JoeBiden>, it all comes down to this.  go vote:  
98,2020-11-03,<JoeBiden>," it’s election day. go vote, america!
"
99,2020-11-02,<JoeBiden>," i’m running as a proud democrat, but i will govern as an american president.  i will work with democrats and republicans, and i’ll work as hard for those who don’t support me as for those who do.  because that’s the job of a president.
"
100,2020-11-02,<JoeBiden>," under president trump:  - over 230,000 americans have died from covid-19 - 30 million people have lost hours, paychecks, or jobs - nearly one in five small businesses have closed  are you better off than you were four years ago?
"
101,2020-11-02,<JoeBiden>," as president, i will:  – rebuild our infrastructure – combat climate change – create millions of good-paying, union jobs  it’s time to build back better –– together.  "
102,2020-11-02,<JoeBiden>," if we give donald trump another four years in the white house, our planet will never recover.
"
103,2020-11-02,<JoeBiden>," everybody knows who donald trump is.  let’s show them who we are.  we choose hope over fear. unity over division. science over fiction. and truth over lies.
"
104,2020-11-02,<JoeBiden>," los dreamers son estadounidenses y ya es hora de que sea oficial.
"
105,2020-11-02,<JoeBiden>," dreamers are americans — and it’s time we make it official.
"
106,2020-11-02,<JoeBiden>," if we give donald trump another four years in the white house, he will forever alter the character of our nation.  we can’t let that happen.
"
107,2020-11-02,<JoeBiden>," i believe health care is a right for all.  donald trump believes it's a privilege for the few.  it's that simple, folks.
"
108,2020-11-02,<JoeBiden>," tomorrow, let's send a clear message to donald trump: time to pack your bags and go home.  "
109,2020-11-02,<JoeBiden>, i believe lgbtq+ rights are human rights — and they are on the ballot tomorrow.  vote:  
110,2020-11-02,<JoeBiden>, tomorrow is election day. i took a moment to reflect on some of my favorite stories and photos from the past year and a half.  take a look:  
111,2020-11-02,<JoeBiden>," i’m joe biden, and i’m asking for your vote.   "
112,2020-11-02,<JoeBiden>," i’ve said it many times: i’m more optimistic about america’s future today than i was when i got elected to the united states senate as a 29-year-old.
"
113,2020-11-02,<JoeBiden>, young people have the power to own the outcome of this election.  use it:  
114,2020-11-02,<JoeBiden>," let’s restore honor and decency to the white house.
"
115,2020-11-02,<JoeBiden>," donald trump will always fight for his wealthy and well-connected friends. i’ll always fight for you.
"
116,2020-11-02,<JoeBiden>, who we are. what we believe. who we want to be. it’s all at stake tomorrow.  vote.  
117,2020-11-02,<JoeBiden>," after tonight's horrific terrorist attack in vienna, austria, jill and i are keeping the victims and their families in our prayers. we must all stand united against hate and violence.
"
118,2020-11-02,<JoeBiden>," president trump ignored the pandemic playbook that president obama and i left him, so we decided to bring it back out and go over what he missed.  "
119,2020-11-02,<JoeBiden>," in less than 12 hours, voters will head to the polls for the most important election in our lifetimes. it all comes down to this. join us for our final rally before election day.  "
120,2020-11-02,<JoeBiden>," donald trump is the most corrupt president in modern history.  donald trump is the most racist president in modern history.  donald trump is the worst jobs president in modern history.  why would we give him another four years?
"
121,2020-11-02,<JoeBiden>, the power to change this country is in your hands.  vote:  
122,2020-11-02,<JoeBiden>," here’s the truth: donald trump inherited a growing economy from president obama and me. and just like everything else he’s inherited in life, he squandered it.
"
123,2020-11-02,<JoeBiden>, i’m speaking with members of the african american community in pittsburgh about the power of the vote — and the future we can build together. tune in.  
124,2020-11-02,<JoeBiden>," when america votes, america will be heard. and when america is heard, i believe the message is going to be loud and clear: it’s time for donald trump to leave the white house.
"
125,2020-11-02,<JoeBiden>," a biden-harris administration will:  - implement nationwide mask mandates - ensure access to regular, reliable, and free testing - accelerate the development and distribution of safe and effective treatments and vaccines  we won’t waste any time getting this virus under control.
"
126,2020-11-02,<JoeBiden>, health care.  civil rights. climate change.  economic inequality.  racial justice. the supreme court. our democracy.  they’re all at stake. vote.  
127,2020-11-02,<JoeBiden>," together, we're going to rebuild our economy. and when we do, we'll not only build it back — we'll build it back better.
"
128,2020-11-02,<JoeBiden>, you have the power to own the outcome of this election and determine the course of our country for generations to come.  make your plan to vote:  
129,2020-11-02,<JoeBiden>," it’s go time, america.   "
130,2020-11-02,<JoeBiden>," in public, president trump compared covid-19 to the flu and suggested people inject bleach to treat it.  in private, he told bob woodward it was deadlier than the flu and that he wanted to downplay it.  it’s unthinkable.
"
131,2020-11-02,<JoeBiden>," i have always believed you can define america in one word: possibilities. and i refuse to postpone those possibilities any longer.  there is so much we can achieve as a nation with donald trump out of the white house.
"
132,2020-11-02,<JoeBiden>," i'm in beaver county, pennsylvania, to thank some of our incredible volunteers for all their hard work. tune in — and then sign up to help:  "
133,2020-11-02,<JoeBiden>," are you still undecided about who to vote for or know someone who is? my team put together some cheat sheets to show where donald trump and i stand on the issues to help you out. take a look, and then share them with family and friends.  "
134,2020-11-02,<JoeBiden>, we only get one opportunity to vote out donald trump — and we can’t leave anything to chance.  vote:  
135,2020-11-02,<JoeBiden>, tune in as my campaign manager  and campaign adviser bob bauer discuss what to expect on election night.  
136,2020-11-02,<JoeBiden>, we have one shot. one opportunity. one moment.  don’t miss the chance — vote.  
137,2020-11-02,<JoeBiden>," tomorrow, the american people get their say and will choose the next president. this afternoon, my campaign manager  and campaign adviser bob bauer will sit down to discuss what you can expect as the results come in. you can watch right here on twitter at 1 pm et.  "
138,2020-11-02,<JoeBiden>, one day left — and we're leaving it all on the field. tune in as we get out the vote in cleveland.  
139,2020-11-02,<JoeBiden>, we’re just one day away from the most important election of our lifetimes — and we need your help to get voters to the polls.  sign up to volunteer today:  
140,2020-11-02,<JoeBiden>, climate change isn't a hoax –– it's a threat to millions of americans like velma and amirah.  we have to vote out donald trump tomorrow and take urgent action to combat this crisis.  
141,2020-11-02,<JoeBiden>," this is my commitment to you: we will make sure every american has access to a free and safe covid-19 vaccine.
"
142,2020-11-02,<JoeBiden>," 1 day. let’s win this thing.
"
143,2020-11-02,<JoeBiden>, from climate change to racial justice — there is so much on the line in this election. so my team put together a generator to help you show your friends and family what you’re voting for. head to  
144,2020-11-02,<JoeBiden>," if you can still vote early, then vote early today.  if you haven’t returned your absentee ballot yet, then return it today.  if you’re voting in-person tomorrow, then make your plan today.  let’s end this — today.
"
145,2020-11-02,<JoeBiden>," my faith has been my anchor through highs and lows –– a guiding light that taught me the values of honesty, decency, and treating others with respect.  as president, it will continue to serve as a source of strength.  "
146,2020-11-02,<JoeBiden>, don’t wait: drop off your ballot today.   
147,2020-11-02,<JoeBiden>," we need a president who actually listens to experts like dr. fauci.
"
148,2020-11-02,<JoeBiden>," if i have the honor of being elected president, i will take care of your family like i would my own.  "
149,2020-11-02,<JoeBiden>," i started this campaign saying we were in a battle for the soul of this nation — and i believe that even more deeply today.  but make no mistake: it’s a battle we can and will win.
"
150,2020-11-02,<JoeBiden>," our president has failed in his most basic duty to this nation: to protect us.  it’s unforgivable.
"
151,2020-11-02,<JoeBiden>, the hard truth is that our economy wasn't working for folks long before this crisis. it's why we can't just go back to the way things were — we have to build back better.  here's how we'll do it:  
152,2020-11-02,<JoeBiden>, vote for respect. vote for decency. vote for truth. vote for leadership.   
153,2020-11-01,<JoeBiden>," when you use your voice and vote, things can — and will — change for the better.  "
154,2020-11-01,<JoeBiden>," donald trump sees the world from park avenue.  i see it from where i came from: scranton, pennsylvania.   it's why i'll fight every day as president to make this country work for middle class and low-income americans — not just the wealthy and well-connected.
"
155,2020-11-01,<JoeBiden>," no one fights harder for the people of alabama than my friend,  he's a senator with a big heart and he's never afraid to fight for what's right.  doug is in a tight race and needs your help to win on tuesday. chip in:  "
156,2020-11-01,<JoeBiden>," as president, i’ll protect and build on obamacare by:   - giving americans the choice of a new public option - lowering premiums, deductibles, and co-pays - lowering the cost of prescription drugs  learn more:  "
157,2020-11-01,<JoeBiden>," the united states of america has emerged stronger from every trial and tribulation it has faced. and if we come together, follow the science, and keep faith with each other, we will once again. i promise.
"
158,2020-11-01,<JoeBiden>, this is the most important election in our lifetimes — and you have the power to make all the difference.  vote.  
159,2020-11-01,<JoeBiden>, 2016 taught us to take nothing for granted and to leave everything on the field.  vote:  
160,2020-11-01,<JoeBiden>," when donald trump thinks about climate change, he thinks “hoax.”   i think “jobs.”  we can solve our climate crisis and our economic crisis at the same time. here’s how:  "
161,2020-11-01,<JoeBiden>, this is our moment to root out systemic racism and build a nation true to our founding ideals. a nation where all men and women are not only created equal — but treated equally.   here's how we'll advance racial economic equity:  
162,2020-11-01,<JoeBiden>," a more hopeful, united, and loving america is within our grasp –– but we have to vote for it.   "
163,2020-11-01,<JoeBiden>," donald trump’s covid-19 response has been the greatest failure of presidential leadership in our nation’s history.
"
164,2020-11-01,<JoeBiden>, from arizona to georgia to wisconsin and beyond — we’re working hard to earn every last vote.  
165,2020-11-01,<JoeBiden>," under my tax plan, no one making under $400,000 will see their taxes go up.  but it’s time large corporations and the wealthiest americans pay their fair share.
"
166,2020-11-01,<JoeBiden>," i want to help restore hope in this country — and i have a bold vision for how, together, we can do that.  "
167,2020-11-01,<JoeBiden>," together, we can make donald trump a one-term president.   "
168,2020-11-01,<JoeBiden>," donald trump is trying to eliminate the entire affordable care act in the middle of a pandemic.  if he gets his way, more than 100 million americans with pre-existing conditions could see their costs skyrocket or be denied coverage altogether.  we can’t let him win.  "
169,2020-11-01,<JoeBiden>," it’s long past time president trump and his wealthy friends paid their fair share in taxes.
"
170,2020-11-01,<JoeBiden>," scranton, pennsylvania, isn't just where i'm from — it's the people i'm for. i'll fight every single day in the white house for the hardworking americans who make our country run.  "
171,2020-11-01,<JoeBiden>," together, we can solve the crises we’re facing and win the battle for the soul of the nation. it all begins on tuesday. tune in as we get out the vote in pennsylvania.  "
172,2020-11-01,<JoeBiden>, let's turn texas blue.   
173,2020-11-01,<JoeBiden>," donald trump claimed he would be ""the greatest jobs president god ever created.""  instead, he's on track to become the worst jobs president in 100 years.
"
174,2020-11-01,<JoeBiden>, don’t let anyone tell you your voice won’t count — because it will.  make sure your voice is heard. go to  
175,2020-11-01,<JoeBiden>, tune in as i join members of philadelphia's faith community for a souls to the polls event.  
176,2020-11-01,<JoeBiden>," i believe climate change is an existential threat to humanity.  donald trump doesn’t even think it exists.  it’s that simple, folks.
"
177,2020-11-01,<JoeBiden>," it’s long past time we take action to end the scourge of gun violence in america.  as president, i’ll ban assault weapons and high-capacity magazines, implement universal background checks, and enact other common-sense reforms to end our gun violence epidemic.
"
178,2020-11-01,<JoeBiden>," more than 230,000 americans have died from covid-19 –– and donald trump has given up on trying to get the virus under control.  he may have quit on you, but i promise i never will.
"
179,2020-11-01,<JoeBiden>," there are just two days until election day, and our campaign is working around the clock to get folks to vote.  can you chip in to help us reach every last voter before polls close on tuesday?  "
180,2020-11-01,<JoeBiden>," health care is deeply personal to me — like it is for so many americans. and i promise you that as president, i will protect your family's health care as if it were my own.  "
181,2020-11-01,<JoeBiden>, we can build a future where:  - health care is a right - we end the gun violence epidemic - we combat climate change - our government works for everyone  vote.  
182,2020-11-01,<JoeBiden>," the trump administration knew how deadly this virus was back in february.  but they didn't tell you or your family. instead, they gave a heads up to their friends on wall street so investors could make a profit before the recession hit.  they hid the truth. it's unforgivable.
"
183,2020-11-01,<JoeBiden>," i'm running as a proud democrat, but i will govern as an american president.  "
184,2020-11-01,<JoeBiden>," we need a president who believes in science and listens to someone other than himself.
"
185,2020-11-01,<JoeBiden>," folks, there are just three days left to vote in this election, and we need your help to get people to the polls. text three friends or family members and make sure they have a plan to vote.  "
186,2020-11-01,<JoeBiden>," desde sus actos atroces con la separación de familias en nuestra frontera hasta su ignorancia con el pueblo puertorriqeño después del huracán maría, el presidente trump ha atacado la dignidad de las familias latinas una y otra vez.  esto terminará cuando yo sea presidente.
"
187,2020-11-01,<JoeBiden>, the future of our planet is on the ballot.  vote:  
188,2020-11-01,<JoeBiden>," if you’re sick or struggling or worried about how you’ll get through the day: i want you to know that i see you, and i won’t forget you.  you can count on me to fight for you every day in the white house.
"
189,2020-11-01,<JoeBiden>," from his heinous acts of separating families at our border to his neglect of the people of puerto rico after hurricane maria, president trump has attacked the dignity of latino families time and time again.  it will end when i’m president.
"
190,2020-11-01,<JoeBiden>," i promise you this: i’ll end donald trump’s chaos and end this crisis.
"
191,2020-11-01,<JoeBiden>," my faith has been a source of immeasurable solace in times of grief and a daily inspiration to fight against the abuse of power in all its forms. as president, it will continue to serve as my anchor, as it has my entire life.  "
192,2020-11-01,<JoeBiden>," right now:   - almost 23 million americans are on unemployment - nearly 1 in 5 small businesses have closed their doors - millions of people are at risk of being evicted   we simply can’t afford another four years of donald trump.
"
193,2020-11-01,<JoeBiden>," return your ballot today, folks.   "
194,2020-11-01,<JoeBiden>, jodie –– you have my word: i will always stand up for you and the millions of americans with pre-existing conditions.  
195,2020-11-01,<JoeBiden>," we need to:  build bridges, not walls. open our arms, not clench our fists. focus on the ties that bind us together, not tear each other apart.  we need to be what we are at our best: one america.
"
196,2020-11-01,<JoeBiden>, we have in our hands the ultimate power: the power of the vote.  don’t let it go to waste. make your plan to vote today.  
197,2020-11-01,<JoeBiden>, let’s put dogs back in the white house.  
198,2020-11-01,<JoeBiden>," as president, i’ll build an economy that rewards work — not just wealth.
"
199,2020-10-31,<JoeBiden>, vote like your health care is on the ballot — because it is.  
200,2020-10-31,<JoeBiden>," the issues we’re facing are far bigger than any political party.  it’s why i’ll be a president for all americans — democrats, republicans, and independents alike — because i believe we must work together if we’re going to get anything done.
"
201,2020-10-31,<JoeBiden>," . and i have seen the office of the presidency up close, we know what the job entails, and there's too much at stake to give donald trump another four years.  vote:  "
202,2020-10-31,<JoeBiden>," the words of a president matter. and time and time again, donald trump has callously used his to incite violence, stoke the flames of hatred and division, and drive us further apart.  it’s time for it to end.
"
203,2020-10-31,<JoeBiden>," to all the heroes who have served in our armed forces, and the families and caregivers who sacrificed alongside them, i promise i’ll always have your back.  "
204,2020-10-31,<JoeBiden>, the character of our nation is on the ballot.  vote:  
205,2020-10-31,<JoeBiden>, we can and will solve the climate crisis — together.  
206,2020-10-31,<JoeBiden>," the hard truth is that under president trump, we’ve become weaker, sicker, poorer, more divided, and more violent.
"
207,2020-10-31,<JoeBiden>," un número récord de latinos son elegibles para votar en esta elección, así que ve a votar para lograr que tu voz se escuche. no dejes que los demás decidan por ti.   "
208,2020-10-31,<JoeBiden>," together, we can end the last four years of chaos.   "
209,2020-10-31,<JoeBiden>, vote for equality. vote for the planet. vote for justice. vote for the future.    
210,2020-10-31,<JoeBiden>," you’re absolutely right, brayden — no one should ever underestimate the american people.  "
211,2020-10-31,<JoeBiden>," president trump doesn’t care about you. he doesn’t even care about his own supporters.
"
212,2020-10-31,<JoeBiden>," tonight marks our last end-of-month fundraising deadline — and it’s our most important one yet.  with three days until election day, we can’t afford to fall short.  if you’re able, please chip in to help us reach our goal:  "
213,2020-10-31,<JoeBiden>," i want to extend my prayers and condolences to the chaldean assyrian community this 10th anniversary of our lady of deliverance church massacre in baghdad. the right to worship is fundamental, and as americans we should be proud that people from around the world find a home here.
"
214,2020-10-31,<JoeBiden>, presidents lead by example.  mask up.  
215,2020-10-31,<JoeBiden>," there is too much at stake on tuesday to sit this election out. tune in as   and i get out the vote in detroit, michigan.  "
216,2020-10-31,<JoeBiden>," as president, i will choose:   hope, not fear. peace, not violence. generosity, not greed.   i’ll appeal to the best in us, not the worst.
"
